00u-00u,35668,35668,1640968
10u-00u,520917,1086446,104941
10u-10u,12216,12216,1687872
10s-00u,587497,1025545,99262
10s-10u,122148,35990,1554166
10s-10s,122148,122148,1468008
11u-00u,1345882,280610,85812
11u-10u,1476342,124052,111910
11u-10s,1387806,218939,105559
11u-11u,36312,36312,1639680
20u-00u,535318,1079819,97167
20u-10u,497698,379895,834711
20u-10s,486431,439389,786484
20u-11u,472931,1169086,70287
20u-20u,12425,12425,1687454
20s-00u,600833,1019500,91971
20s-10u,552957,372863,786484
20s-10s,542122,444296,725886
20s-11u,534246,1111597,66461
20s-20u,122315,36199,1553790
20s-20s,122315,122315,1467674
21u-00u,779987,862154,70163
21u-10u,528173,348293,835838
21u-10s,512715,420975,778614
21u-11u,555759,1067611,88934
21u-20u,486474,360718,865112
21u-20s,476086,428960,807258
21u-21u,12425,12425,1687454
21s-00u,816016,829628,66660
21s-10u,578934,354771,778599
21s-10s,565830,426988,719486
21s-11u,619062,1008967,84275
21s-20u,550081,354980,807243
21s-20s,538552,427155,746597
21s-21u,122330,36521,1553453
21s-21s,122330,122330,1467644
22u-00u,1367010,280104,65190
22u-10u,1477762,169696,64846
22u-10s,1404412,246860,61032
22u-11u,1366436,280930,64938
22u-20u,1483275,124261,104768
22u-20s,1394583,219106,98615
22u-21u,1452687,157256,102361
22u-21s,1366365,249296,96643
22u-22u,36730,36730,1638844
30u-00u,549527,1073192,89585
30u-10u,510697,379161,822446
30u-10s,498612,438677,775015
30u-11u,486228,1162360,63716
30u-20u,502526,380681,829097
30u-20s,490931,440175,781198
30u-21u,655370,682952,373982
30u-21s,637338,729727,345239
30u-22u,475579,1184170,52555
30u-30u,12550,12550,1687204
30s-00u,614019,1013455,84830
30s-10u,565138,372151,775015
30s-10s,553322,443662,715320
30s-11u,546625,1105411,60268
30s-20u,557457,373649,781198
30s-20s,546347,445186,720771
30s-21u,712596,654790,344918
30s-21s,701407,661776,349121
30s-22u,536683,1125836,49785
30s-30u,122440,36324,1553540
30s-30s,122440,122440,1467424
31u-00u,792392,856176,63736
31u-10u,542136,347545,822623
31u-10s,525769,420263,766272
31u-11u,568816,1060984,82504
31u-20u,778109,560105,374090
31u-20s,743818,623460,345026
31u-21u,498723,380971,832610
31u-21s,487095,440141,785068
31u-22u,489814,1170029,52461
31u-30u,485851,360095,866358
31u-30s,475499,428373,808432
31u-31u,12550,12550,1687204
31s-00u,827533,824154,60617
31s-10u,591973,354059,766272
31s-10s,577855,426354,708095
31s-11u,631153,1002922,78229
31s-20u,818755,548202,345347
31s-20s,811582,551493,349229
31s-21u,553299,373937,785068
31s-21s,542530,445165,724609
31s-22u,550338,1112271,49695
31s-30u,549479,354393,808432
31s-30s,538028,426646,747630
31s-31u,122440,36646,1553218
31s-31s,122440,122440,1467424
32u-00u,813975,835426,62903
32u-10u,867792,488707,355805
32u-10s,828348,555703,328253
32u-11u,798027,861952,52325
32u-20u,563031,342380,806893
32u-20s,545006,415314,751984
32u-21u,529927,350339,832038
32u-21s,514274,423023,775007
32u-22u,588136,1047367,76801
32u-30u,517811,354930,839563
32u-30s,505171,423424,783709
32u-31u,485715,362889,863700
32u-31s,475456,431133,805715
32u-32u,12550,12550,1687204
32s-00u,847267,805008,60029
32s-10u,904442,479073,328789
32s-10s,899174,480669,332461
32s-11u,833051,829479,49774
32s-20u,611011,349319,751974
32s-20s,595267,422084,694953
32s-21u,580279,357028,774997
32s-21s,567199,429099,716006
32s-22u,648432,990948,72924
32s-30u,579161,349444,783699
32s-30s,565265,422209,724830
32s-31u,549446,357153,805705
32s-31s,538139,429209,744956
32s-32u,122450,36855,1552999
32s-32s,122450,122450,1467404
33u-00u,1384082,279598,48624
33u-10u,1494300,169696,48308
33u-10s,1419912,246860,45532
33u-11u,1383508,280424,48372
33u-20u,1491756,172366,48182
33u-20s,1417480,249400,45424
33u-21u,1482526,181690,48088
33u-21s,1408589,258381,45334
33u-22u,1382934,281250,48120
33u-30u,1488924,124386,98994
33u-30s,1400139,219231,92934
33u-31u,1458048,157381,96875
33u-31s,1371651,249406,91247
33u-32u,1427460,190376,94468
33u-32s,1343433,279591,89280
33u-33u,36980,36980,1638344
40u-00u,536962,1099536,75806
40u-10u,529967,413208,769129
40u-10s,516835,470612,724857
40u-11u,487589,1167692,57023
40u-20u,521688,415811,774805
40u-20s,509045,473119,730140
40u-21u,643514,704755,364035
40u-21s,626384,749929,335991
40u-22u,475788,1189502,47014
40u-30u,513409,417439,781456
40u-30s,501256,474725,736323
40u-31u,635870,707127,369307
40u-31s,619265,752229,340810
40u-32u,609737,733722,368845
40u-32s,594124,777624,340556
40u-33u,464095,1209968,38241
40u-40u,12619,12619,1687066
40s-00u,602988,1037539,71777
40s-10u,583647,403800,724857
40s-10s,570397,472528,669379
40s-11u,547582,1110767,53955
40s-20u,575858,406306,730140
40s-20s,563323,474961,674020
40s-21u,701354,675280,335670
40s-21s,689505,682986,339813
40s-22u,536560,1131192,44552
40s-30u,568069,407912,736323
40s-30s,556249,476542,679513
40s-31u,694277,677538,340489
40s-31s,682287,685314,344703
40s-32u,669102,703175,340027
40s-32s,656592,711264,344448
40s-33u,525646,1150345,36313
40s-40u,122509,36393,1553402
40s-40s,122509,122509,1467286
41u-00u,787519,867598,57187
41u-10u,562589,374811,774904
41u-10s,544906,445536,721862
41u-11u,554810,1087617,69877
41u-20u,762015,586254,364035
41u-20s,728813,647821,335670
41u-21u,517777,416101,778426
41u-21s,505101,473085,734118
41u-22u,490023,1175361,46920
41u-30u,754479,588518,369307
41u-30s,721802,650013,340489
41u-31u,509606,417621,785077
41u-31s,497420,474583,740301
41u-32u,635202,708374,368728
41u-32s,619330,752850,340124
41u-33u,478330,1195827,38147
41u-40u,489615,359163,863526
41u-40s,479169,427476,805659
41u-41u,12619,12619,1687066
41s-00u,822543,835322,54439
41s-10u,611396,379046,721862
41s-10s,595808,449164,667332
41s-11u,618772,1027276,66256
41s-20u,803462,572851,335991
41s-20s,795408,577083,339813
41s-21u,571592,406594,734118
41s-21s,559407,474940,677957
41s-22u,550215,1117627,44462
41s-30u,796493,575001,340810
41s-30s,788298,579303,344703
41s-31u,563911,408092,740301
41s-31s,552432,476407,683465
41s-32u,693261,679127,339916
41s-32s,681624,686352,344328
41s-33u,539301,1136780,36223
41s-40u,553149,353496,805659
41s-40s,541407,425841,745056
41s-41u,122509,36715,1553080
41s-41s,122509,122509,1467286
42u-00u,808958,846848,56498
42u-10u,848624,517786,345894
42u-10s,810417,582855,319032
42u-11u,791253,874123,46928
42u-20u,583340,369646,759318
42u-20s,564007,440588,707709
42u-21u,550276,384825,777203
42u-21s,533297,454923,724084
42u-22u,572834,1074144,65326
42u-30u,776876,566475,368953
42u-30s,743358,628811,340135
42u-31u,753804,589664,368836
42u-31s,721538,650742,340024
42u-32u,505690,417798,788816
42u-32s,493471,474549,744284
42u-33u,492565,1181686,38053
42u-40u,521971,353998,836335
42u-40s,509237,422527,780540
42u-41u,489874,362210,860220
42u-41s,479522,430488,802294
42u-42u,12619,12619,1687066
42s-00u,842132,816176,53996
42s-10u,886146,506580,319578
42s-10s,879927,509187,323190
42s-11u,826259,841359,44686
42s-20u,630289,374306,707709
42s-20s,613084,444894,654326
42s-21u,599579,388641,724084
42s-21s,585044,457926,669334
42s-22u,634826,1015437,62041
42s-30u,817735,553905,340664
42s-30s,810024,557724,344556
42s-31u,795261,576811,340232
42s-31s,787419,580449,344436
42s-32u,559753,408267,744284
42s-32s,548615,476381,687308
42s-33u,552956,1123215,36133
42s-40u,583217,348547,780540
42s-40s,569009,421404,721891
42s-41u,553502,356508,802294
42s-41s,541883,428641,741780
42s-42u,122509,36924,1552871
42s-42s,122509,122509,1467286
43u-00u,830457,826098,55749
43u-10u,870195,509144,332965
43u-10s,830564,574578,307162
43u-11u,812752,853373,46179
43u-20u,858957,502595,350752
43u-20s,820718,568140,323446
43u-21u,838995,522674,350635
43u-21s,801825,587144,323335
43u-22u,795652,878747,37905
43u-30u,604151,364481,743672
43u-30s,583160,435639,693505
43u-31u,571087,379660,761557
43u-31s,552450,449974,709880
43u-32u,537983,388609,785712
43u-32s,521718,458583,732003
43u-33u,590918,1059291,62095
43u-40u,555599,348833,807872
43u-40s,540535,417578,754191
43u-41u,523298,357045,831961
43u-41s,510610,425539,776155
43u-42u,491202,365004,856098
43u-42s,480895,433248,798161
43u-43u,12619,12619,1687066
43s-00u,861862,797030,53412
43s-10u,905904,498557,307843
43s-10s,900225,500763,311316
43s-11u,845989,822213,44102
43s-20u,896116,492078,324110
43s-20s,890142,494370,327792
43s-21u,876661,511965,323678
43s-21s,870627,514005,327672
43s-22u,830693,845491,36120
43s-30u,649323,369482,693499
43s-30s,630492,440582,641230
43s-31u,618613,383817,709874
43s-31s,602452,453599,656253
43s-32u,587881,392426,731997
43s-32s,574384,461419,676501
43s-33u,651021,1002215,59068
43s-40u,614521,343598,754185
43s-40s,597805,416967,697532
43s-41u,584596,351559,776149
43s-41s,570484,424204,717616
43s-42u,554881,359268,798155
43s-42s,543358,431204,737742
43s-43u,122515,37049,1552740
43s-43s,122515,122515,1467274
44u-00u,1390302,286630,35372
44u-10u,1477189,200063,35052
44u-10s,1404466,274738,33100
44u-11u,1388736,288448,35120
44u-20u,1473655,203723,34926
44u-20s,1401133,278179,32992
44u-21u,1463676,213796,34832
44u-21s,1391530,287872,32902
44u-22u,1388162,289274,34868
44u-30u,1471111,206393,34800
44u-30s,1398701,280719,32884
44u-31u,1461132,216466,34706
44u-31s,1389098,290412,32794
44u-32u,1451902,225790,34612
44u-32s,1380207,299393,32704
44u-33u,1387588,290100,34616
44u-40u,1532646,91515,88143
44u-40s,1440769,189137,82398
44u-41u,1501625,124511,86168
44u-41s,1412146,219312,80846
44u-42u,1470749,157506,84049
44u-42s,1383658,249487,79159
44u-43u,1440161,190501,81642
44u-43s,1355440,279668,77196
44u-44u,37118,37118,1638068
50u-00u,523851,1118235,70218
50u-10u,544109,433517,734678
50u-10s,530136,489713,692455
50u-11u,491657,1169794,50853
50u-20u,535721,442122,734461
50u-20s,522196,497844,692264
50u-21u,637926,720276,354102
50u-21s,621191,764344,326769
50u-22u,478703,1191605,41996
50u-30u,527442,444725,740137
50u-30s,514406,500351,697547
50u-31u,629534,723396,359374
50u-31s,613401,767315,331588
50u-32u,603293,749991,359020
50u-32s,588152,792710,331442
50u-33u,466002,1212071,34231
50u-40u,526216,418365,767723
50u-40s,513697,475653,722954
50u-41u,645885,702200,364219
50u-41s,628350,747965,335989
50u-42u,619644,728795,363865
50u-42s,603101,773360,335843
50u-43u,593619,755198,363487
50u-43s,578068,798647,335589
50u-44u,458433,1226721,27150
50u-50u,12653,12653,1686998
50s-00u,591386,1054693,66225
50s-10u,597148,422701,692455
50s-10s,583067,489834,639403
50s-11u,551111,1113034,48159
50s-20u,589251,430789,692264
50s-20s,575894,497336,639074
50s-21u,695978,689878,326448
50s-21s,683674,698088,330542
50s-22u,539009,1133459,39836
50s-30u,581462,433295,697547
50s-30s,568820,499727,643757
50s-31u,688189,692848,331267
50s-31s,675730,701142,335432
50s-32u,662906,718485,330913
50s-32s,649927,727092,335285
50s-33u,527150,1152612,32542
50s-40u,580510,408840,722954
50s-40s,567908,477469,666927
50s-41u,703871,672765,335668
50s-41s,691873,680538,339893
50s-42u,678588,698402,335314
50s-42s,666070,706488,339746
50s-43u,653512,723856,334936
50s-43s,640483,732330,339491
50s-44u,519798,1166631,25875
50s-50u,122543,36426,1553335
50s-50s,122543,122543,1467218
51u-00u,790927,870216,51161
51u-10u,579044,373853,759407
51u-10s,560308,444770,707226
51u-11u,539929,1106646,65729
51u-20u,752785,605417,354102
51u-20s,720134,665722,326448
51u-21u,531810,442412,738082
51u-21s,518252,497810,696242
51u-22u,492938,1177464,41902
51u-30u,744501,608429,359374
51u-30s,712452,668585,331267
51u-31u,523639,444907,743758
51u-31s,510570,500209,701525
51u-32u,628758,724643,358903
51u-32s,613358,767936,331010
51u-33u,480237,1197930,34137
51u-40u,764638,583447,364219
51u-40s,731025,645611,335668
51u-41u,522413,418547,771344
51u-41s,509861,475511,726932
51u-42u,645109,703447,363748
51u-42s,628307,748586,335411
51u-43u,619084,729850,363370
51u-43s,603274,773873,335157
51u-44u,472669,1212579,27056
51u-50u,492817,358155,861332
51u-50s,482252,426544,803508
51u-51u,12653,12653,1686998
51s-00u,825412,838114,48778
51s-10u,626998,378080,707226
51s-10s,610486,448290,653528
51s-11u,605550,1044700,62054
51s-20u,794604,590931,326769
51s-20s,785905,595857,330542
51s-21u,584985,431077,696242
51s-21s,571978,497315,643011
51s-22u,552664,1119894,39746
51s-30u,786923,593793,331588
51s-30s,778069,598803,335432
51s-31u,577304,433475,701525
51s-31s,565003,499592,647709
51s-32u,687065,694437,330802
51s-32s,674959,702180,335165
51s-33u,540805,1139047,32452
51s-40u,806229,570086,335989
51s-40s,798028,574383,339893
51s-41u,576352,409020,726932
51s-41s,564091,477334,670879
51s-42u,702747,674354,335203
51s-42s,691102,681576,339626
51s-43u,677671,699808,334825
51s-43s,665515,707418,339371
51s-44u,533453,1153066,25785
51s-50u,556233,352563,803508
51s-50s,544249,425001,743054
51s-51u,122543,36748,1553013
51s-51s,122543,122543,1467218
52u-00u,812222,849466,50616
52u-10u,843946,532189,336169
52u-10s,805906,596392,310006
52u-11u,788682,881568,42054
52u-20u,599394,368689,744221
52u-20s,578985,439864,693455
52u-21u,565246,405374,741684
52u-21s,547218,474030,691056
52u-22u,556656,1093318,62330
52u-30u,766898,586386,359020
52u-30s,734008,647383,330913
52u-31u,743682,609719,358903
52u-31s,712050,669452,330802
52u-32u,519615,445084,747605
52u-32s,506513,500175,705616
52u-33u,494472,1183789,34043
52u-40u,787143,561296,363865
52u-40s,752689,624301,335314
52u-41u,763927,584629,363748
52u-41s,730731,646370,335203
52u-42u,518497,418616,775191
52u-42s,505912,475369,731023
52u-43u,644549,704502,363253
52u-43s,628367,749099,334838
52u-44u,486904,1198438,26962
52u-50u,525570,352989,833745
52u-50s,512716,421595,777993
52u-51u,493431,361495,857378
52u-51s,483001,429808,799495
52u-52u,12653,12653,1686998
52s-00u,844866,818968,48470
